Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
BR 0019-15,00 22 02.1,-15 13 22,4.520,18.7,0.,0.000,QSO radio quiet
UM 230,00 22 04.9,-01 28 48,1.040,17.8,0.,0.000,QSO radio quiet
Q 0019-396,00 22 03.2,-39 24 00,2.280,19.5,0.,0.000,QSO radio quiet
Q 0019-0000,00 22 10.0,00 16 29,0.575,18.0,0.,0.080,QSO radio quiet
Q 0019-392,00 22 10.0,-38 59 25,2.200,19.3,0.,0.000,QSO radio quiet
A16.04,00 22 18.5,-35 16 51,2.000,18.4,0.,0.000,QSO radio quiet
1Jy0019-000,00 22 25.3,00 14 56,0.000,20.0,1100.,0.000,Radio Galaxy
IRAS 00198-7926,00 21 53.8,-79 10 08,0.073,16.3,0.,0.000,Seyfert type 2
UM 232,00 22 27.5,01 24 12,2.125,17.7,0.,0.000,QSO radio quiet
PKS 0019+058,00 22 28.7,06 09 09,0.000,18.9,540.,0.000,BL Lac
Q 0020+0105,00 22 35.4,01 22 04,0.422,18.8,0.,0.037,Galaxy unbarred
Q 0020-369,00 22 36.1,-36 40 22,2.005,18.9,0.,0.000,QSO radio quiet
Q 0020-0202,00 22 44.3,-01 45 51,0.691,18.1,108.,0.000,QSO radio loud steep
Q 0020-0300,00 22 55.2,-02 44 19,0.580,17.0,0.,0.092,QSO radio quiet
UM 233,00 23 02.4,-01 38 16,1.460,18.0,0.,0.000,QSO radio quiet
UM 234,00 23 03.2,01 15 33,0.727,17.7,0.,0.044,QSO radio quiet
0020-0124,00 23 05.0,-01 07 44,0.167,16.8,0.,0.000,Galaxy unbarred
PB 5913,00 23 11.0,00 35 16,0.423,18.3,0.,0.071,QSO radio quiet
W  5,00 23 13.8,-53 58 22,0.029,0.0,0.,0.000,Seyfert type 2
Q 0020+0217,00 23 24.8,02 33 58,1.798,18.3,0.,0.000,QSO radio quiet
Q 0020-408,00 23 20.0,-40 34 17,2.630,18.7,0.,0.000,QSO radio quiet
UM 663,00 23 39.2,-18 15 50,1.998,18.2,0.,0.000,QSO radio quiet
UM  30,00 23 42.9,05 52 31,2.050,19.1,108.,0.000,QSO radio loud flat
Q 0021+0046,00 23 43.0,01 02 42,1.633,18.1,0.,0.000,QSO radio quiet
PB 5925,00 23 54.1,02 58 29,0.495,17.6,0.,0.000,QSO radio quiet
UM 236,00 23 56.3,01 22 39,1.175,18.2,0.,0.000,QSO radio quiet
Q 0021-0301,00 24 02.7,-02 45 01,0.422,18.5,0.,0.000,QSO radio quiet
A 0021+25,00 24 09.4,25 25 08,0.067,14.2,0.,0.000,Seyfert type 2
Q 0021-0213,00 24 10.9,-01 56 47,2.293,18.4,0.,0.000,QSO radio quiet
PB 5927,00 24 11.7,-00 43 48,0.771,17.9,0.,0.000,QSO radio quiet
Q 0021-0147,00 24 17.5,-01 30 36,1.356,18.3,0.,0.000,QSO radio quiet
1Jy0022-297,00 24 30.0,-29 28 52,0.406,20.0,1030.,0.442,QSO radio loud steep
PKS 0021-29,00 24 30.1,-29 28 54,0.406,19.4,1030.,0.442,QSO radio loud steep
UM 237,00 24 35.3,02 06 48,2.826,18.1,0.,0.000,QSO radio quiet
Q 0022-0120,00 24 42.4,-01 03 46,1.091,18.3,0.,0.000,QSO radio quiet
PB 5932,00 24 44.1,00 32 21,0.404,16.6,0.,0.108,QSO radio quiet
