Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
Q 0104-3930,01 06 43.6,-39 14 28,2.200,18.9,0.,0.000,QSO radio quiet
Q 0104-3725,01 06 45.4,-37 09 29,2.000,19.7,0.,0.000,QSO radio quiet
PKS 0104-408,01 06 45.1,-40 34 20,0.584,18.7,850.,0.000,QSO radio loud flat
0104-361,** ** 0  N,** ** 0,0.340,18.8,0.,0.000,Galaxy unbarred
Q 0104-3847,01 06 48.6,-38 31 56,2.330,19.2,0.,0.000,QSO radio quiet
3C31,01 07 24.8,32 24 44,0.017,12.2,2104.,0.080,Radio Galaxy radio l
1Jy0104+321,01 07 24.9,32 24 45,0.017,12.1,2060.,0.080,Radio Galaxy radio l
Q 0104-269,01 07 03.8,-26 43 58,1.690,19.7,0.,0.000,QSO radio quiet
Q 0104-3722,01 06 59.5,-37 06 08,2.090,19.5,0.,0.000,QSO radio quiet
CS 205,01 07 06.6,-28 14 34,1.560,18.9,0.,0.000,QSO radio quiet
CS 206,01 07 13.2,-28 55 17,2.290,19.1,0.,0.000,QSO radio quiet
0104-337,01 07 14.9,-33 30 10,0.240,19.7,0.,0.000,Galaxy unbarred
Q 0104-3733,01 07 14.8,-37 17 37,1.820,19.5,0.,0.000,QSO radio quiet
Q 0104-3809,01 07 14.7,-37 53 46,2.110,18.7,0.,0.000,QSO radio quiet
0104-381,01 07 15.1,-37 51 06,2.110,18.7,0.,0.000,QSO radio quiet
Q 0104-3539,01 07 20.1,-35 23 27,1.520,18.6,0.,0.000,QSO radio quiet
0105-357,01 07 20.3,-35 28 40,2.220,19.2,0.,0.000,QSO radio quiet
Q 0105-4238,01 07 17.9,-42 22 50,2.940,19.6,0.,0.000,QSO radio quiet
Q 0105-0035,01 07 37.0,-00 19 12,0.737,17.8,0.,0.000,QSO radio quiet
Q 0105-4037,01 07 28.9,-40 21 47,1.180,18.3,0.,0.000,QSO radio quiet
Q 0105-3524,01 07 34.7,-35 08 55,2.120,18.8,0.,0.000,QSO radio quiet
Q 0105-3328,01 07 35.7,-33 12 35,2.410,19.2,0.,0.000,QSO radio quiet
Q 0105-3349,01 07 36.0,-33 33 15,1.898,17.9,0.,0.000,QSO radio quiet
Q 0105-2649,01 07 42.0,-26 33 30,2.463,17.4,1.,0.000,QSO radio quiet
Q 0105-3909,01 07 37.2,-38 53 27,2.310,18.1,0.,0.000,QSO radio quiet
Q 0105-3729,01 07 39.1,-37 13 55,1.310,19.2,0.,0.000,QSO radio quiet
Q 0105-278,01 07 44.5,-27 33 02,2.700,18.8,0.,0.000,QSO radio quiet
IRAS 01053+2147,01 08 03.5,22 03 58,0.058,0.0,0.,0.000,Liner
Q 0105-284,01 07 47.4,-28 09 19,2.880,19.8,0.,0.000,QSO radio quiet
Q 0105-3854,01 07 45.4,-38 38 54,1.290,18.8,0.,0.000,QSO radio quiet
Q 0105-4218,01 07 46.5,-42 02 07,1.670,19.5,0.,0.000,QSO radio quiet
0105-3384,01 07 51.9,-33 34 17,2.437,19.3,0.,0.000,QSO radio quiet
Q 0105-3427,01 07 56.0,-34 11 15,2.310,20.4,0.,0.000,QSO radio quiet
Q 0105-301,01 08 00.1,-29 50 14,1.080,17.1,0.,0.000,QSO radio quiet
Q 0105-3954,01 07 58.4,-39 38 05,2.900,19.7,0.,0.000,QSO radio quiet
UM  86,01 08 21.8,06 23 27,1.960,16.9,0.,0.000,QSO radio quiet
0105-333,01 08 08.6,-33 06 58,0.560,18.8,0.,0.000,QSO radio quiet
0105-2634,01 08 12.4,-26 18 20,3.488,17.0,0.,0.000,QSO radio quiet
1Jy0105-163,01 08 16.9,-16 04 21,0.400,20.0,1180.,0.000,Radio Galaxy radio l
3C32,01 08 16.9,-16 04 20,0.400,20.1,1142.,0.000,Radio Galaxy radio l
3C  32,01 08 17.0,-16 04 20,0.400,20.1,1142.,0.000,Radio Galaxy radio l
Q 0105-3422,01 08 10.5,-34 06 54,1.610,18.2,0.,0.000,QSO radio quiet
Q 0105-4005,01 08 08.4,-39 49 02,2.410,19.8,0.,0.000,QSO radio quiet
Q 0105-4055,01 08 08.5,-40 39 15,2.210,19.6,0.,0.000,QSO radio quiet
Q 0105-4020,01 08 09.7,-40 04 49,2.480,20.3,0.,0.000,QSO radio quiet
PKS 0105-008,01 08 26.8,-00 37 25,1.378,17.6,530.,0.000,QSO radio loud steep
G19.09,01 08 03.8,-50 47 54,2.190,17.9,0.,0.000,QSO radio quiet
Q 0106-0230,01 08 36.2,-02 14 32,2.279,18.2,0.,0.000,QSO radio quiet
1Jy0106+013,01 08 38.7,01 35 00,2.107,18.4,2280.,0.123,QSO radio loud flat
PKS 0106+01,01 08 38.8,01 34 60,2.107,18.4,2280.,0.123,QSO radio loud flat
S50106+729,01 09 44.2,73 11 57,0.181,19.5,890.,0.000,QSO radio loud steep
3C  33.1,01 09 44.3,73 11 57,0.181,18.9,860.,0.000,QSO radio loud steep
Q 0106-0026,01 08 41.4,-00 10 03,1.243,18.2,0.,0.000,QSO radio quiet
0106-378,01 08 32.6,-37 36 05,1.660,19.7,0.,0.025,QSO radio quiet
3C  33.0,01 08 52.8,13 20 14,0.060,15.2,5021.,0.000,Radio Galaxy radio l
3C33,01 08 52.8,13 20 25,0.060,15.2,5021.,0.000,Radio Galaxy radio l
1Jy0106+130,01 08 52.8,13 20 13,0.060,15.2,4950.,0.000,Radio Galaxy radio l
Q 0106-3454,01 08 39.3,-34 38 38,2.110,18.5,0.,0.000,QSO radio quiet
Q 0106-0113,01 08 55.0,-00 57 47,1.668,17.8,0.,0.000,QSO radio quiet
0106-340,01 08 47.3,-33 47 13,2.300,19.1,0.,0.000,QSO radio quiet
0106-347,01 08 47.7,-34 29 43,0.350,19.6,0.,0.000,Galaxy unbarred
0106-331,01 08 52.0,-32 52 33,2.230,18.9,0.,0.000,QSO radio quiet
0106-338,01 08 57.2,-33 34 48,2.140,20.0,0.,0.000,QSO radio quiet
B2 0106+38,01 09 25.6,38 16 46,0.583,16.7,86.,0.000,QSO radio loud steep
CS 210,01 09 00.6,-27 05 13,2.300,0.0,0.,0.000,QSO
NGC  404,01 09 27.0,35 43 03,0.001,11.1,0.,0.000,Liner
Q 0106-3520,01 09 01.9,-35 05 00,2.120,18.8,0.,0.000,QSO radio quiet
Q 0106-3756,01 09 13.5,-37 40 19,2.200,18.7,0.,0.000,QSO radio quiet
0106-349,01 09 17.2,-34 41 24,2.320,20.4,0.,0.000,QSO radio quiet
Q 0106-3657,01 09 17.1,-36 41 12,2.160,19.3,0.,0.000,QSO radio quiet
Q 0106-3501,01 09 19.5,-34 45 18,2.000,18.6,0.,0.000,QSO radio quiet
0107-340,01 09 22.4,-33 44 27,2.240,19.0,0.,0.000,QSO radio quiet
NAB 0107-15,01 09 31.5,-15 21 52,0.861,17.2,0.,0.000,QSO radio quiet
A18.21,01 09 28.6,-34 25 27,1.260,17.9,0.,0.000,QSO radio quiet
0107-3435,01 09 28.8,-34 05 18,0.830,19.7,0.,0.000,QSO radio loud
0107-346,01 09 30.4,-34 20 52,0.380,20.2,0.,0.000,Galaxy unbarred
IRAS 01072-0348,01 09 45.1,-03 32 33,0.054,12.1,8.,0.016,Seyfert type 2
Q 0107+0051,01 09 47.5,01 07 51,0.966,18.7,0.,0.000,QSO radio quiet
Q 0107+0022,01 09 54.3,00 38 13,1.968,18.2,0.,0.000,QSO radio quiet
Q 0107-0128,01 09 54.9,-01 12 47,1.455,18.1,0.,0.000,QSO radio quiet
Q 0107-3654,01 09 48.3,-36 38 19,0.530,19.2,0.,0.000,QSO radio quiet
0107-332,01 09 52.7,-32 56 04,1.790,19.6,0.,0.000,QSO radio quiet
0107-356,01 09 52.0,-35 25 56,2.190,19.8,0.,0.000,QSO radio quiet
PHL 1186,01 10 13.0,09 16 57,0.270,0.0,0.,0.000,QSO
Q 0107-0235,01 10 13.2,-02 19 53,0.958,17.6,156.,0.361,QSO radio loud flat
Q 0107-0232,01 10 14.4,-02 16 58,0.728,18.1,0.,0.000,QSO radio quiet
PB 6291,01 10 16.3,-02 18 51,0.952,17.0,0.,0.000,QSO radio loud
0107-3315,01 10 06.3,-32 53 20,2.100,19.8,0.,0.000,QSO radio quiet
Q 0107+0213,01 10 22.5,02 29 51,0.347,19.3,0.,0.000,Galaxy unbarred
Q 0107-3216,01 10 10.0,-32 00 08,2.250,19.7,0.,0.000,QSO radio quiet
Q 0107-0031,01 10 24.5,-00 15 43,1.753,18.5,0.,0.000,QSO radio quiet
0107+007,01 10 31.1,01 01 60,0.069,0.0,0.,0.000,Seyfert type 2
Q 0107-025C,01 10 30.1,-02 14 55,1.891,0.0,0.,0.000,QSO
0107-3310,01 10 18.9,-32 50 09,0.472,16.2,0.,0.000,QSO radio quiet
Q 0107-001,01 10 33.7,00 08 31,0.467,0.0,0.,0.000,QSO
MS 01080+0139,01 10 34.8,01 55 37,0.713,17.5,0.,0.081,QSO radio quiet
Q 0108-3738,01 10 21.3,-37 22 26,1.880,18.1,0.,0.000,QSO radio quiet
0108-340,01 10 24.4,-33 49 26,2.080,19.4,0.,0.000,QSO radio quiet
Q 0108-007,01 10 37.6,-00 27 41,1.423,0.0,0.,0.000,QSO
Q 0108+0028,01 10 38.1,00 44 54,2.005,18.0,0.,0.000,QSO radio quiet
0108-337,01 10 27.8,-33 28 51,0.230,20.2,0.,0.000,Galaxy unbarred
Q 0108-3300,01 10 34.8,-32 44 31,2.230,19.8,0.,0.000,QSO radio quiet
Q 0108-025,01 10 48.0,-02 15 26,1.240,0.0,0.,0.000,QSO
Q 0108-020,01 10 49.3,-01 48 18,1.300,0.0,0.,0.040,QSO
Q 0108+0030,01 10 52.9,00 46 48,0.428,18.7,0.,0.000,QSO radio quiet
PKS 0108-079,01 10 50.0,-07 41 41,1.776,18.7,890.,0.000,QSO radio loud flat
0108-332,01 10 40.4,-32 56 07,1.710,19.0,0.,0.000,QSO radio quiet
0108-347,01 10 40.8,-34 27 39,2.160,19.2,0.,0.000,QSO radio quiet
0108-353,01 10 41.1,-35 04 19,0.850,19.0,0.,0.000,QSO radio quiet
MS 01084+3859,01 11 17.1,39 14 28,0.323,18.0,0.,0.086,Seyfert type 1
MS 01084+3836,01 11 17.4,38 52 25,0.353,19.6,0.,0.059,Seyfert type 1
0108-344,01 10 49.7,-34 13 18,0.350,19.0,0.,0.000,Galaxy unbarred
NAB 0108-14,01 11 05.6,-14 10 53,0.641,17.2,0.,0.000,QSO radio quiet
0108-339,01 11 03.5,-33 38 27,0.390,19.5,0.,0.000,Galaxy unbarred
Q 0108-3249,01 11 07.9,-32 34 03,1.970,18.1,0.,0.000,QSO radio quiet
1Jy0108+388,01 11 37.3,39 06 28,0.323,22.0,1340.,0.000,Radio Galaxy
S40108+388,01 11 37.3,39 06 28,0.669,22.0,1350.,0.000,Radio Galaxy
Q 0108-3551,01 11 08.1,-35 35 17,2.360,18.7,0.,0.000,QSO radio loud
Q 0108+001,01 11 24.6,00 26 47,1.002,0.0,0.,0.000,QSO
Q 0108-3753,01 11 11.5,-37 37 26,1.540,18.8,0.,0.000,QSO radio quiet
RXJ01115+0536,01 11 30.1,05 36 28,0.346,19.3,9.,0.337,BL Lac
Q 0108-3706,01 11 15.0,-36 50 26,2.630,19.6,0.,0.000,QSO radio quiet
IRAS 01089-4743,01 11 09.9,-47 27 36,0.000,14.3,0.,0.645,Seyfert type 1
Q 0108-3459,01 11 18.0,-34 43 14,2.130,20.5,0.,0.000,QSO radio quiet
0108-334,01 11 19.5,-33 08 22,2.310,19.0,0.,0.000,QSO radio quiet
S40109+492,01 12 03.0,49 28 41,0.068,15.6,590.,0.000,Radio Galaxy
0109-374,01 11 25.9,-37 12 25,0.380,18.3,0.,0.000,QSO radio quiet
0109-355,01 11 27.2,-35 15 30,2.307,19.8,0.,0.000,QSO radio quiet
Q 0109-3339,01 11 28.6,-33 23 24,2.050,19.6,0.,0.000,QSO radio quiet
PKS 0109+17,01 11 49.8,17 53 51,2.157,18.7,159.,0.000,QSO radio loud steep
NGC  424,01 11 27.7,-38 05 01,0.011,14.1,15.,0.071,Seyfert type 1
0109-350,01 11 30.3,-34 45 07,1.500,18.7,0.,0.000,QSO radio quiet
Q 0109-3440,01 11 33.6,-34 24 59,1.340,18.2,0.,0.000,QSO radio quiet
0109-343,01 11 34.8,-34 02 53,0.370,20.1,0.,0.000,Galaxy unbarred
Q 0109+0216,01 11 53.0,02 32 36,0.043,19.4,0.,0.000,Galaxy unbarred
0109-335,01 11 42.4,-33 18 50,0.290,20.0,0.,0.000,Galaxy unbarred
GC 0109+224,01 12 05.7,22 44 38,0.000,15.7,780.,0.151,BL Lac
MS 01094+0242,01 11 58.9,02 58 47,0.262,17.5,0.,0.068,Seyfert type 1
Q 0109-3518,01 11 43.7,-35 03 00,2.406,16.9,0.,0.000,QSO radio quiet
B2 0109+35,01 12 13.0,35 22 19,0.000,0.0,378.,0.000,QSO
TEX 0109+200,01 12 10.2,20 20 21,0.746,16.7,242.,0.058,QSO radio loud flat
Q 0109-3523,01 11 49.4,-35 07 54,2.280,19.7,0.,0.000,QSO radio quiet
B16.20,01 11 51.3,-40 45 44,0.054,16.4,0.,0.370,Seyfert type 1
UM  87,01 12 16.9,02 29 47,2.343,17.3,0.,0.000,QSO radio quiet
Q 0109-3437,01 12 08.9,-34 21 29,2.160,19.0,0.,0.000,QSO radio quiet
Q 0109-3616,01 12 10.0,-36 01 01,1.430,19.6,0.,0.000,QSO radio quiet
0109-349,01 12 11.3,-34 39 36,0.340,19.3,0.,0.000,Galaxy unbarred
Q 0109-0128,01 12 27.6,-01 12 22,1.758,18.0,0.,0.000,QSO radio quiet
0109-327,01 12 19.7,-32 30 33,2.220,20.3,0.,0.000,QSO radio quiet
NRAO  62,01 12 50.4,32 08 17,0.603,17.7,480.,0.000,QSO radio loud steep
Q 0110-3547,01 12 25.0,-35 31 14,2.170,19.5,0.,0.000,QSO radio quiet
0110-346,01 12 26.5,-34 21 56,1.710,19.0,0.,0.000,QSO radio quiet
Q 0110-0107,01 12 40.2,-00 52 03,1.896,18.3,0.,0.000,QSO radio quiet
Q 0110-0157,01 12 41.1,-01 41 53,1.102,16.9,0.,0.035,QSO radio quiet
0110-361,01 12 32.7,-35 55 35,0.290,18.8,0.,0.000,Galaxy unbarred
0110-337,01 12 37.7,-33 29 32,1.640,19.5,0.,0.000,QSO radio quiet
PB 6317,01 12 55.0,00 03 13,1.230,0.0,0.,0.162,QSO
Q 0110-3540,01 12 41.0,-35 24 08,2.140,19.3,0.,0.000,QSO radio quiet
Q 0110+004,01 12 56.0,00 44 08,0.909,0.0,0.,0.000,QSO
0110+0203,01 12 58.8,02 19 09,0.157,17.5,0.,0.000,Galaxy unbarred
Q 0110-0015,01 13 01.7,-00 00 04,0.976,18.1,0.,0.000,QSO radio quiet
PB 6320,01 13 01.9,00 06 33,1.686,17.5,0.,0.000,QSO radio quiet
0110-358,01 12 47.7,-35 34 01,2.000,19.1,0.,0.000,QSO radio quiet
S40110+495,01 13 26.9,49 48 25,0.395,18.4,563.,0.271,QSO radio loud flat
S4 0110+49,01 13 27.0,49 48 23,0.395,18.1,563.,0.271,QSO radio loud flat
Q 0110-030,01 13 08.4,-02 49 38,1.234,0.0,0.,0.000,QSO
0110-3694,01 12 54.2,-36 40 35,0.740,0.0,0.,0.000,QSO
Q 0110-0047,01 13 10.4,-00 31 34,0.412,18.4,0.,0.000,QSO radio quiet
B2 0110+29,01 13 24.2,29 58 16,0.363,16.7,340.,0.207,QSO radio loud steep
Q 0110-3659,01 12 60.0,-36 43 51,1.930,19.6,0.,0.000,QSO radio quiet
Q 0110-397,01 13 00.3,-39 28 57,1.450,18.9,0.,0.000,QSO radio quiet
PB 6325,01 13 24.2,01 41 50,0.774,17.5,0.,0.000,QSO radio quiet
Q 0110-3614,01 13 09.1,-35 58 18,2.090,19.7,0.,0.000,QSO radio quiet
0110-363,01 13 09.6,-36 06 11,2.280,19.1,0.,0.000,QSO radio quiet
0110-333,01 13 13.3,-33 07 57,1.700,19.3,0.,0.000,QSO radio quiet
0110-328,01 13 13.6,-32 33 02,0.390,20.1,0.,0.000,Galaxy unbarred
Q 0110-006,01 13 26.8,-00 26 02,0.934,0.0,0.,0.000,QSO
PB 6327,01 13 31.0,02 40 51,1.509,17.8,0.,0.000,QSO radio quiet
Q 0111-3621,01 13 19.4,-36 05 45,1.810,18.8,0.,0.000,QSO radio quiet
2E 0111+3851,01 13 54.5,39 07 44,0.234,16.1,0.,0.259,Seyfert type 1
Q 0111-007,01 13 39.5,-00 30 08,0.994,0.0,0.,0.000,QSO
0111-324,01 13 30.7,-32 08 13,0.370,18.5,0.,0.000,Galaxy unbarred
Q 0111-3322,01 13 32.5,-33 06 47,2.080,19.7,0.,0.000,QSO radio quiet
MARK  975,01 13 51.0,13 16 18,0.050,14.9,0.,0.000,Seyfert type 1
MARK 1152,01 13 50.1,-14 50 45,0.052,15.0,1.,1.977,Seyfert type 1
Q 0111-008,01 13 59.6,-00 32 49,0.180,0.0,0.,0.000,QSO
EXO 0111.4-1458,01 13 56.3,-14 42 37,0.054,16.5,0.,0.022,AGN unclassified
Q 0111-010,01 14 02.5,-00 47 51,0.350,0.0,0.,0.000,QSO
BR 0111-28,01 13 52.5,-28 14 08,4.300,18.4,0.,0.000,QSO radio quiet
0111-349,01 13 50.3,-34 40 55,0.470,19.4,0.,0.000,Galaxy unbarred
0111-360,01 13 53.7,-35 46 33,1.680,19.3,0.,0.000,QSO radio quiet
0111-341,01 14 03.7,-33 51 53,2.140,18.3,0.,0.000,QSO radio quiet
Q 0111+0220,01 14 25.6,02 35 54,0.074,17.1,0.,0.000,Galaxy unbarred
Q 0111-3723,01 14 09.6,-37 07 13,1.760,18.7,0.,0.000,QSO radio quiet
IRAS 01118+8455,01 18 36.0,85 11 42,0.056,14.7,0.,0.000,Seyfert type 2
MS 01119-0132,01 14 28.2,-01 16 35,0.120,18.6,0.,0.090,Seyfert type 1
0111-348,01 14 15.8,-34 33 50,2.250,19.8,0.,0.000,QSO radio quiet
Q 0111-005,01 14 30.7,-00 15 51,1.906,0.0,0.,0.000,QSO
0111-328,01 14 19.4,-32 34 33,1.630,17.9,0.,0.000,QSO radio quiet
Q 0112+029,01 14 34.9,03 09 51,2.819,18.3,0.,0.000,QSO radio quiet
0112-325,01 14 25.5,-32 17 41,0.380,19.0,0.,0.000,Galaxy unbarred
01121-014,01 14 39.9,-01 10 54,2.200,20.0,0.,0.000,QSO radio quiet
0112-367,01 14 27.7,-36 26 30,1.870,19.3,0.,0.000,QSO radio quiet
0112-335,01 14 34.9,-33 15 26,0.380,18.3,0.,0.000,QSO radio quiet
NGC  454E,01 14 23.1,-55 23 51,0.012,13.6,0.,0.000,Seyfert type 2
0112-3501,01 14 43.0,-34 45 46,2.380,18.2,0.,0.000,QSO radio quiet
0112-358,01 14 44.9,-35 36 45,0.330,19.6,0.,0.000,Galaxy unbarred
0112-360,01 14 44.9,-35 44 32,0.390,18.8,0.,0.000,Galaxy unbarred
Q 0112-27,01 14 52.8,-27 14 09,2.894,0.0,0.,0.000,QSO
Q 0112-30,01 14 51.4,-30 14 09,2.985,0.0,0.,0.000,QSO
Q 0112-3254,01 14 54.1,-32 38 23,1.588,17.6,0.,0.000,QSO radio quiet
0112-333,01 14 55.3,-33 07 55,0.740,20.0,0.,0.000,QSO radio quiet
Q 0112-3659,01 14 53.5,-36 43 37,2.550,19.8,0.,0.000,QSO radio quiet
0112-326,01 15 04.0,-32 25 35,2.300,19.5,0.,0.000,QSO radio quiet
1Jy0112-017,01 15 17.0,-01 27 04,1.381,17.4,1200.,0.092,QSO radio loud flat
PKS 0112-017,01 15 17.1,-01 27 06,1.381,17.4,1200.,0.092,QSO radio loud flat
Q 0112-3456,01 15 08.5,-34 40 41,2.550,19.1,0.,0.000,QSO radio quiet
0112-331,01 15 10.4,-32 55 42,2.110,19.3,0.,0.000,QSO radio quiet
0112-381,01 15 08.4,-37 51 06,2.280,18.7,0.,0.000,QSO radio quiet
Q 0112-3649,01 15 09.9,-36 33 23,2.200,19.8,0.,0.000,QSO radio quiet
Q 0112-012,01 15 29.6,-00 57 24,1.584,0.0,0.,0.000,QSO
1E 0112+3256,01 15 47.2,33 12 37,0.764,18.9,0.,0.000,QSO radio quiet
MS 01129-0148,01 15 32.8,-01 31 54,0.284,19.3,0.,0.029,Galaxy unbarred
RXJ01157+2519,01 15 46.2,25 19 52,0.000,18.4,26.,0.474,BL Lac
Q 0113+000,01 15 37.8,00 20 28,1.278,0.0,0.,0.024,QSO
MC 0113-201,01 15 30.6,-19 51 32,1.220,17.0,0.,0.000,QSO radio loud
Q 0113-010,01 15 48.0,-00 47 14,1.966,0.0,0.,0.000,QSO
0113-3261,01 15 35.9,-32 21 48,1.680,20.2,0.,0.000,QSO radio quiet
0113-3268,01 15 39.0,-32 25 10,0.380,19.8,0.,0.000,Galaxy unbarred
Q 0113-3244,01 15 39.5,-32 28 42,1.930,18.5,0.,0.000,QSO radio quiet
MARK    1,01 16 07.2,33 05 22,0.016,15.0,28.,0.000,Seyfert type 2
0113-352,01 15 42.5,-35 01 15,1.480,19.0,0.,0.000,QSO radio quiet
0113-333,01 15 47.7,-33 07 15,1.910,20.2,0.,0.000,QSO radio quiet
MARK  565,01 16 03.6,04 17 39,0.021,13.0,0.,0.000,Galaxy unbarred
Q 0113-3246,01 15 51.0,-32 30 32,2.260,20.0,0.,0.000,QSO radio quiet
Q 0113-406,01 15 53.1,-40 24 21,2.166,18.2,0.,0.000,QSO radio quiet
Q 0113-013,01 16 12.0,-01 02 25,2.053,0.0,0.,0.000,QSO
Q 0113+0126,01 16 13.8,01 42 30,0.044,17.7,0.,0.000,Galaxy unbarred
Q 0113+0121,01 16 14.5,01 37 15,0.056,18.7,0.,0.000,Galaxy unbarred
Q 0113-009,01 16 15.6,-00 43 35,1.262,0.0,0.,0.000,QSO
1Jy0113-118,01 16 12.4,-11 36 15,0.672,18.5,1940.,0.000,QSO radio loud flat
PKS 0113-11,01 16 12.5,-11 36 14,0.672,18.2,1940.,0.000,QSO radio loud flat
Q 0113-392,01 16 02.3,-38 59 13,2.070,18.4,0.,0.000,QSO radio quiet
ESO 195-G35,01 15 54.9,-50 11 23,0.017,14.2,0.,0.000,Seyfert type 2
0113-3635,01 16 06.8,-36 05 14,1.940,19.5,0.,0.000,QSO radio quiet
Q 0113-3338,01 16 09.3,-33 22 38,2.050,20.1,0.,0.000,QSO radio quiet
0113-3631,01 16 11.0,-36 03 29,1.770,19.3,0.,0.000,QSO radio quiet
Q 0113-3334,01 16 16.8,-33 18 56,1.460,19.2,0.,0.000,QSO radio quiet
Q 0114-001,01 16 33.9,00 06 25,1.314,0.0,0.,0.000,QSO
1Jy0114-476,01 16 21.8,-47 22 24,0.146,16.5,2310.,0.000,Radio Galaxy radio l
0114-331,01 16 31.9,-32 51 51,2.330,19.8,0.,0.000,QSO radio quiet
0114-358,01 16 31.4,-35 36 53,2.260,19.6,0.,0.000,QSO radio quiet
0114-330,01 16 35.5,-32 45 59,1.670,18.9,0.,0.000,QSO radio quiet
Q 0114-3512,01 16 36.9,-34 57 01,1.960,18.9,74.,0.000,QSO radio loud flat
0114-334,01 16 38.9,-33 08 27,1.530,19.5,0.,0.000,QSO radio quiet
MS 01143-0123,01 16 53.2,-01 07 56,0.559,19.4,0.,0.050,QSO radio quiet
Q 0114+0218,01 16 56.6,02 34 22,0.071,17.9,0.,0.000,Galaxy unbarred
0114-328,01 16 42.6,-32 37 57,1.450,19.6,0.,0.000,QSO radio quiet
1Jy0114-211,01 16 51.3,-20 52 06,0.000,0.0,1280.,0.000,Radio Galaxy
OC-224,01 16 51.3,-20 52 06,0.000,22.4,1242.,0.000,Radio Galaxy
2E 0114-0015,01 17 03.9,00 00 27,0.050,15.3,0.,0.502,Seyfert type 1
MS 01145+0809,01 17 07.6,08 25 42,1.486,18.4,0.,0.056,QSO radio quiet
MS 01145-0140,01 17 07.8,-01 24 37,0.388,19.3,0.,0.029,Seyfert type 1
Q 0114-3312,01 17 03.1,-32 56 45,1.624,18.9,0.,0.000,QSO radio quiet
0114-368,01 17 02.4,-36 36 33,1.820,19.6,0.,0.000,QSO radio quiet
PKS 0114+07,01 17 26.2,07 42 17,0.861,17.7,670.,0.107,QSO radio loud flat
UM 670,01 17 23.3,-08 41 32,3.163,17.7,0.,0.000,QSO radio quiet
Q 0114-3311,01 17 12.9,-32 55 38,2.181,20.2,0.,0.000,QSO radio quiet
0115-358,01 17 19.7,-35 35 36,1.650,18.8,0.,0.000,QSO radio quiet
Q 0115-3508,01 17 28.0,-34 53 00,2.290,19.3,0.,0.000,QSO radio quiet
Q 0115-3711,01 17 27.1,-36 55 50,1.910,18.9,0.,0.000,QSO radio quiet
MS 01152+0812,01 17 50.2,08 27 57,0.350,20.0,0.,0.019,Seyfert type 1
0115-353,01 17 31.9,-35 03 46,2.270,19.1,0.,0.000,QSO radio quiet
Q 0115-3738,01 17 34.1,-37 22 28,1.810,17.2,0.,0.000,QSO radio quiet
0115-325,01 17 37.5,-32 17 52,1.680,19.0,0.,0.000,QSO radio quiet
0115-333,01 17 37.7,-33 04 46,2.210,19.8,0.,0.000,QSO radio quiet
Q 0115-3501,01 17 40.0,-34 45 29,1.930,19.2,0.,0.000,QSO radio quiet
PKS 0115-342,01 17 44.5,-33 57 06,1.780,18.7,260.,0.000,QSO radio loud flat
0115-357,01 17 45.6,-35 27 12,1.710,18.6,0.,0.000,QSO radio quiet
Q 0115-30,01 17 50.9,-30 14 13,3.249,0.0,0.,0.000,QSO
Q 0115-3425,01 17 51.3,-34 09 25,2.400,19.0,0.,0.000,QSO radio quiet
3C  37,01 18 18.5,02 58 06,0.670,16.7,520.,0.189,QSO radio loud steep
UM 314,01 18 28.1,-00 52 40,2.190,19.8,0.,0.000,QSO radio quiet
0116-341,01 18 21.1,-33 51 28,0.310,20.1,0.,0.000,Galaxy unbarred
UM 315,01 18 38.6,-01 54 22,2.050,17.9,0.,0.000,QSO radio quiet
0116-337,01 18 33.1,-33 27 55,0.360,19.5,0.,0.000,Galaxy unbarred
0116-351,01 18 33.7,-34 51 58,1.630,18.8,0.,0.000,QSO radio quiet
Q 0116-3538,01 18 38.6,-35 22 57,0.810,20.0,0.,0.000,QSO radio quiet
PKS 0116+08,01 19 01.2,08 29 55,0.594,19.8,1170.,0.020,Radio Galaxy
1Jy0116+082,01 19 01.2,08 29 55,0.594,20.5,1170.,0.020,Radio Galaxy
,01 18 47.6,-28 35 46,0.798,19.7,0.,0.000,QSO radio quiet
Q 0116-3425,01 18 46.7,-34 10 01,0.840,19.3,0.,0.000,QSO radio quiet
0116-354,01 18 47.9,-35 09 55,0.490,20.0,0.,0.000,Galaxy unbarred
0116-363,01 18 49.3,-36 04 14,1.710,19.5,0.,0.000,QSO radio quiet
Q 0116-3729,01 18 49.2,-37 14 09,1.950,19.6,0.,0.000,QSO radio quiet
PKS 0116-219,01 18 57.3,-21 41 30,1.165,18.7,559.,0.000,QSO radio loud flat
MS 01166+3147,01 19 22.2,32 02 36,0.058,15.5,0.,0.230,Seyfert type 2
0116-332,01 19 00.9,-32 58 25,1.870,19.6,0.,0.000,QSO radio quiet
MARK  567,01 19 18.1,04 34 42,0.033,14.4,17.,0.000,Starburst galaxy
0116-330,01 19 03.3,-32 46 21,0.840,18.7,0.,0.000,QSO radio quiet
MARK  984,01 19 24.1,12 26 48,0.048,16.0,9.,0.000,Liner
MS 01167+0802,01 19 22.5,08 18 34,0.156,17.9,0.,0.020,Galaxy unbarred
1Jy0116+319,01 19 34.9,32 10 50,0.059,14.5,1450.,0.000,Radio Galaxy radio q
